repository,repository_url,method,test_method
apache/incubator-shardingsphere,https://github.com/apache/incubator-shardingsphere.git,/tmp/repo_zu9qvcvy/db-protocol/mysql/src/main/java/org/apache/shardingsphere/db/protocol/mysql/packet/command/query/binary/prepare/MySQLComStmtPreparePacket.java,/tmp/repo_zu9qvcvy/db-protocol/mysql/src/test/java/org/apache/shardingsphere/db/protocol/mysql/packet/command/query/binary/prepare/MySQLComStmtPreparePacketTest.java
apache/incubator-shardingsphere,https://github.com/apache/incubator-shardingsphere.git,/tmp/repo_zu9qvcvy/parser/sql/dialect/presto/src/main/java/org/apache/shardingsphere/sql/parser/presto/parser/PrestoParser.java,/tmp/repo_zu9qvcvy/parser/sql/dialect/presto/src/test/java/org/apache/shardingsphere/test/it/sql/parser/it/presto/external/ExternalPrestoParserIT.java
apache/incubator-shardingsphere,https://github.com/apache/incubator-shardingsphere.git,/tmp/repo_zu9qvcvy/infra/util/src/main/java/org/apache/shardingsphere/infra/util/props/MultiSourceProperties.java,/tmp/repo_zu9qvcvy/infra/util/src/test/java/org/apache/shardingsphere/infra/util/props/MultiSourcePropertiesTest.java
apache/incubator-shardingsphere,https://github.com/apache/incubator-shardingsphere.git,/tmp/repo_zu9qvcvy/infra/expr/spi/src/main/java/org/apache/shardingsphere/infra/expr/spi/InlineExpressionParser.java,/tmp/repo_zu9qvcvy/infra/expr/type/interval/src/test/java/org/apache/shardingsphere/infra/expr/interval/IntervalInlineExpressionParserTest.java
apache/incubator-shardingsphere,https://github.com/apache/incubator-shardingsphere.git,/tmp/repo_zu9qvcvy/infra/common/src/main/java/org/apache/shardingsphere/infra/rule/scope/DatabaseRule.java,/tmp/repo_zu9qvcvy/infra/common/src/test/java/org/apache/shardingsphere/infra/rule/builder/database/DatabaseRulesBuilderTest.java
apache/incubator-shardingsphere,https://github.com/apache/incubator-shardingsphere.git,/tmp/repo_zu9qvcvy/kernel/single/core/src/main/java/org/apache/shardingsphere/single/rule/SingleRule.java,/tmp/repo_zu9qvcvy/kernel/single/core/src/test/java/org/apache/shardingsphere/single/rule/builder/DefaultSingleRuleConfigurationBuilderTest.java
apache/incubator-shardingsphere,https://github.com/apache/incubator-shardingsphere.git,/tmp/repo_zu9qvcvy/infra/expr/type/espresso/src/main/java/org/apache/shardingsphere/infra/expr/espresso/EspressoInlineExpressionParser.java,/tmp/repo_zu9qvcvy/infra/expr/type/espresso/src/test/java/org/apache/shardingsphere/infra/expr/espresso/EspressoInlineExpressionParserTest.java
apache/incubator-shardingsphere,https://github.com/apache/incubator-shardingsphere.git,/tmp/repo_zu9qvcvy/infra/distsql-handler/src/main/java/org/apache/shardingsphere/distsql/handler/executor/rql/resource/ShowRulesUsedStorageUnitExecutor.java,/tmp/repo_zu9qvcvy/infra/distsql-handler/src/test/java/org/apache/shardingsphere/distsql/handler/executor/rql/resource/ShowRulesUsedStorageUnitExecutorTest.java
apache/incubator-shardingsphere,https://github.com/apache/incubator-shardingsphere.git,/tmp/repo_zu9qvcvy/db-protocol/mysql/src/main/java/org/apache/shardingsphere/db/protocol/mysql/constant/MySQLNewParametersBoundFlag.java,/tmp/repo_zu9qvcvy/db-protocol/mysql/src/test/java/org/apache/shardingsphere/db/protocol/mysql/constant/MySQLNewParametersBoundFlagTest.java
apache/incubator-shardingsphere,https://github.com/apache/incubator-shardingsphere.git,/tmp/repo_zu9qvcvy/db-protocol/postgresql/src/main/java/org/apache/shardingsphere/db/protocol/postgresql/packet/command/query/extended/bind/protocol/PostgreSQLArrayParameterDecoder.java,/tmp/repo_zu9qvcvy/db-protocol/postgresql/src/test/java/org/apache/shardingsphere/db/protocol/postgresql/packet/command/query/extended/bind/protocol/PostgreSQLArrayParameterDecoderTest.java
apache/incubator-shardingsphere,https://github.com/apache/incubator-shardingsphere.git,/tmp/repo_zu9qvcvy/kernel/single/core/src/main/java/org/apache/shardingsphere/single/rule/SingleRule.java,/tmp/repo_zu9qvcvy/kernel/single/core/src/test/java/org/apache/shardingsphere/single/yaml/SingleRuleConfigurationYamlIT.java
apache/incubator-shardingsphere,https://github.com/apache/incubator-shardingsphere.git,/tmp/repo_zu9qvcvy/db-protocol/mysql/src/main/java/org/apache/shardingsphere/db/protocol/mysql/packet/command/admin/ping/MySQLComPingPacket.java,/tmp/repo_zu9qvcvy/db-protocol/mysql/src/test/java/org/apache/shardingsphere/db/protocol/mysql/packet/command/admin/ping/MySQLComPingPacketTest.java
apache/incubator-shardingsphere,https://github.com/apache/incubator-shardingsphere.git,/tmp/repo_zu9qvcvy/db-protocol/postgresql/src/main/java/org/apache/shardingsphere/db/protocol/postgresql/packet/command/query/extended/bind/protocol/PostgreSQLUUIDBinaryProtocolValue.java,/tmp/repo_zu9qvcvy/db-protocol/postgresql/src/test/java/org/apache/shardingsphere/db/protocol/postgresql/packet/command/query/extended/bind/protocol/PostgreSQLUUIDBinaryProtocolValueTest.java
apache/incubator-shardingsphere,https://github.com/apache/incubator-shardingsphere.git,/tmp/repo_zu9qvcvy/kernel/transaction/type/base/seata-at/src/main/java/org/apache/shardingsphere/transaction/base/seata/at/SeataXIDContext.java,/tmp/repo_zu9qvcvy/kernel/transaction/type/base/seata-at/src/test/java/org/apache/shardingsphere/transaction/base/seata/at/SeataXIDContextTest.java
apache/incubator-shardingsphere,https://github.com/apache/incubator-shardingsphere.git,/tmp/repo_zu9qvcvy/infra/rewrite/src/main/java/org/apache/shardingsphere/infra/rewrite/engine/RouteSQLRewriteEngine.java,/tmp/repo_zu9qvcvy/infra/rewrite/src/test/java/org/apache/shardingsphere/infra/rewrite/engine/RouteSQLRewriteEngineTest.java
apache/incubator-shardingsphere,https://github.com/apache/incubator-shardingsphere.git,/tmp/repo_zu9qvcvy/infra/exception/dialect/core/src/main/java/org/apache/shardingsphere/infra/exception/dialect/mapper/SQLDialectExceptionMapper.java,/tmp/repo_zu9qvcvy/infra/exception/dialect/type/mysql/src/test/java/org/apache/shardingsphere/infra/exception/mysql/mapper/MySQLDialectExceptionMapperTest.java
apache/incubator-shardingsphere,https://github.com/apache/incubator-shardingsphere.git,/tmp/repo_zu9qvcvy/db-protocol/mysql/src/main/java/org/apache/shardingsphere/db/protocol/mysql/constant/MySQLCharacterSet.java,/tmp/repo_zu9qvcvy/db-protocol/mysql/src/test/java/org/apache/shardingsphere/db/protocol/mysql/constant/MySQLCharacterSetTest.java
