project_id,model,model_category,prompt_setting,shot_count,scope,n_generated,n_valid_refactorings,n_pass,n_fail,valid_refactoring_rate_pct,pass_at_1_pct
P01,StarCoder2,open-source code model,0-shot,0,method-level,500,462,269,193,92.4,58.2
P01,StarCoder2,open-source code model,0-shot,0,class-level,500,467,267,200,93.4,57.2
P01,StarCoder2,open-source code model,1-shot,1,method-level,500,464,254,210,92.8,54.7
P01,StarCoder2,open-source code model,1-shot,1,class-level,500,463,261,202,92.6,56.4
P01,StarCoder2,open-source code model,3-shot,3,method-level,500,466,260,206,93.2,55.8
P01,StarCoder2,open-source code model,3-shot,3,class-level,500,456,261,195,91.2,57.2
P01,StarCoder2,open-source code model,5-shot,5,method-level,500,461,262,199,92.2,56.8
P01,StarCoder2,open-source code model,5-shot,5,class-level,500,452,255,197,90.4,56.4
P01,Qwen2.5-Coder-32B-Instruct,open-weight code-specialized model,0-shot,0,method-level,500,478,312,166,95.6,65.3
P01,Qwen2.5-Coder-32B-Instruct,open-weight code-specialized model,0-shot,0,class-level,500,474,311,163,94.8,65.6
P01,Qwen2.5-Coder-32B-Instruct,open-weight code-specialized model,1-shot,1,method-level,500,476,292,184,95.2,61.3
P01,Qwen2.5-Coder-32B-Instruct,open-weight code-specialized model,1-shot,1,class-level,500,469,303,166,93.8,64.6
P01,Qwen2.5-Coder-32B-Instruct,open-weight code-specialized model,3-shot,3,method-level,500,476,302,174,95.2,63.4
P01,Qwen2.5-Coder-32B-Instruct,open-weight code-specialized model,3-shot,3,class-level,500,466,300,166,93.2,64.4
P01,Qwen2.5-Coder-32B-Instruct,open-weight code-specialized model,5-shot,5,method-level,500,471,312,159,94.2,66.2
P01,Qwen2.5-Coder-32B-Instruct,open-weight code-specialized model,5-shot,5,class-level,500,473,311,162,94.6,65.8
P01,Claude Sonnet,closed-source frontier model,0-shot,0,method-level,500,474,324,150,94.8,68.4
P01,Claude Sonnet,closed-source frontier model,0-shot,0,class-level,500,480,340,140,96.0,70.8
P01,Claude Sonnet,closed-source frontier model,1-shot,1,method-level,500,473,328,145,94.6,69.3
P01,Claude Sonnet,closed-source frontier model,1-shot,1,class-level,500,486,348,138,97.2,71.6
P01,Claude Sonnet,closed-source frontier model,3-shot,3,method-level,500,486,336,150,97.2,69.1
P01,Claude Sonnet,closed-source frontier model,3-shot,3,class-level,500,474,334,140,94.8,70.5
P01,Claude Sonnet,closed-source frontier model,5-shot,5,method-level,500,476,333,143,95.2,70.0
P01,Claude Sonnet,closed-source frontier model,5-shot,5,class-level,500,480,346,134,96.0,72.1
P01,GPT-4o,closed-source frontier model,0-shot,0,method-level,500,485,346,139,97.0,71.3
P01,GPT-4o,closed-source frontier model,0-shot,0,class-level,500,476,351,125,95.2,73.7
P01,GPT-4o,closed-source frontier model,1-shot,1,method-level,500,481,357,124,96.2,74.2
