agent,step,project,k1,k2,k3,k4,k5,k6,k7,k8,k9,k10,fixable_pct
GPT-4o,Diff + ErrLog + Expl,1,0.0,20.6,8.9,10.0,0.0,1.3,4.3,5.2,1.4,0.0,51.7
GPT-4o,Diff + ErrLog + Expl,2,41.8,13.2,13.8,9.1,9.3,4.7,4.9,2.6,0.0,0.2,99.6
GPT-4o,Diff + ErrLog + Expl,3,30.6,0.0,4.6,0.0,7.8,3.8,0.0,3.1,1.6,0.5,52.0
GPT-4o,Diff + ErrLog + Expl,4,27.9,17.8,19.7,9.8,4.2,4.4,2.2,2.7,1.5,0.4,90.6
GPT-4o,Diff + ErrLog + Expl,5,18.7,18.9,11.5,9.2,7.6,6.2,2.8,2.7,0.9,0.3,78.8
GPT-4o,Diff + ErrLog + Expl,6,18.7,23.4,15.2,11.0,7.7,3.6,3.4,1.1,1.9,0.3,86.3
GPT-4o,Diff + ErrLog + Expl,7,12.2,14.9,0.0,7.3,10.0,4.1,4.4,3.3,1.3,0.4,57.9
GPT-4o,Diff + ErrLog + Expl,8,35.2,0.0,13.9,0.0,9.4,5.1,4.6,3.1,1.1,0.3,72.7
GPT-4o,Diff + ErrLog + Expl,9,27.9,20.3,0.0,5.6,0.0,3.5,0.0,1.4,0.6,0.3,59.6
GPT-4o,Diff + ErrLog + Expl,10,30.0,7.9,10.4,0.0,0.0,2.3,3.4,2.8,1.7,0.3,58.8
Claude 3.5 Sonnet,Diff + ErrLog + Expl,1,34.3,16.6,11.7,6.5,0.0,1.8,5.1,3.1,0.0,0.1,79.2
Claude 3.5 Sonnet,Diff + ErrLog + Expl,2,17.6,15.7,12.2,12.1,0.0,0.0,5.7,3.0,0.0,0.2,66.5
Claude 3.5 Sonnet,Diff + ErrLog + Expl,3,22.7,8.8,11.0,4.2,6.6,0.0,0.0,2.3,0.0,0.2,55.8
Claude 3.5 Sonnet,Diff + ErrLog + Expl,4,44.3,14.0,7.1,6.2,4.1,4.5,0.0,3.0,2.5,0.3,86.0
Claude 3.5 Sonnet,Diff + ErrLog + Expl,5,33.6,12.8,1.0,8.3,7.4,4.8,0.0,0.0,0.0,0.2,68.1
Claude 3.5 Sonnet,Diff + ErrLog + Expl,6,0.0,12.5,11.3,7.1,2.4,7.3,0.0,3.3,2.3,0.2,46.4
Claude 3.5 Sonnet,Diff + ErrLog + Expl,7,19.0,26.3,7.3,6.9,7.0,4.2,5.1,0.0,4.0,0.2,80.0
Claude 3.5 Sonnet,Diff + ErrLog + Expl,8,34.8,0.0,12.8,6.9,7.3,3.7,5.3,1.2,0.0,0.1,72.1
Claude 3.5 Sonnet,Diff + ErrLog + Expl,9,0.0,21.0,12.6,5.6,6.1,5.1,4.8,2.9,1.9,0.2,60.2
Claude 3.5 Sonnet,Diff + ErrLog + Expl,10,22.7,16.3,0.0,5.2,0.1,3.6,0.0,3.2,1.3,0.3,52.7
Llama 3 (8B),Diff + ErrLog + Expl,1,12.4,23.3,6.2,0.0,4.7,3.5,2.3,3.2,1.9,0.2,57.7
Llama 3 (8B),Diff + ErrLog + Expl,2,29.0,23.3,21.3,6.5,4.9,3.2,2.1,2.1,1.3,0.4,94.1
Llama 3 (8B),Diff + ErrLog + Expl,3,20.6,11.0,10.4,0.0,4.3,2.7,3.8,1.6,1.1,0.2,55.7
Llama 3 (8B),Diff + ErrLog + Expl,4,26.0,0.0,10.4,6.3,4.7,3.9,2.9,2.2,0.2,0.2,56.8
Llama 3 (8B),Diff + ErrLog + Expl,5,18.3,0.0,0.0,9.9,4.6,0.0,2.8,2.2,1.5,0.3,39.6
Llama 3 (8B),Diff + ErrLog + Expl,6,28.6,19.6,17.5,5.6,6.1,0.0,2.2,1.9,1.8,0.2,83.5
Llama 3 (8B),Diff + ErrLog + Expl,7,19.3,0.0,0.0,0.0,1.8,4.4,2.1,1.3,1.6,0.1,30.6
Llama 3 (8B),Diff + ErrLog + Expl,8,0.9,26.3,13.2,8.0,0.0,3.9,1.9,0.0,1.6,0.2,56.0
Llama 3 (8B),Diff + ErrLog + Expl,9,29.1,17.4,0.0,4.8,6.9,4.9,1.0,2.0,2.4,0.2,68.7
Llama 3 (8B),Diff + ErrLog + Expl,10,11.8,0.1,0.0,9.9,6.0,3.5,2.9,2.5,1.6,0.0,38.3
GPT-4o,Diff + ErrLog + Expl + RAG,1,0.0,12.9,0.0,8.6,7.4,4.4,4.6,0.0,0.0,0.3,38.2
GPT-4o,Diff + ErrLog + Expl + RAG,2,29.6,13.4,8.8,17.8,4.9,1.9,2.2,2.1,1.9,0.3,82.9
GPT-4o,Diff + ErrLog + Expl + RAG,3,25.7,15.9,7.8,0.0,4.3,3.9,1.5,2.8,1.8,0.3,64.0
GPT-4o,Diff + ErrLog + Expl + RAG,4,0.0,17.0,8.9,7.6,6.5,2.9,3.5,2.4,2.5,0.3,51.6
GPT-4o,Diff + ErrLog + Expl + RAG,5,22.3,0.0,6.4,5.6,0.0,2.1,3.1,1.9,0.7,0.0,42.1
GPT-4o,Diff + ErrLog + Expl + RAG,6,34.0,15.8,13.7,6.6,6.1,8.5,3.9,3.3,2.2,0.4,94.5
GPT-4o,Diff + ErrLog + Expl + RAG,7,0.0,16.8,10.4,0.0,6.1,3.8,2.0,2.2,2.5,0.3,44.1
GPT-4o,Diff + ErrLog + Expl + RAG,8,31.9,20.1,11.0,6.7,5.1,5.3,3.7,2.4,2.9,0.3,89.4
GPT-4o,Diff + ErrLog + Expl + RAG,9,34.7,5.9,12.1,7.1,7.1,3.6,2.3,3.4,1.9,0.3,78.4
GPT-4o,Diff + ErrLog + Expl + RAG,10,38.8,14.2,9.9,8.0,4.5,4.6,2.2,2.5,2.6,0.5,87.8
Claude 3.5 Sonnet,Diff + ErrLog + Expl + RAG,1,26.3,16.3,0.0,8.8,5.9,3.2,4.7,2.2,1.1,0.2,68.7
Claude 3.5 Sonnet,Diff + ErrLog + Expl + RAG,2,16.3,0.0,10.6,7.1,8.1,1.1,3.5,2.7,2.1,0.3,51.8
Claude 3.5 Sonnet,Diff + ErrLog + Expl + RAG,3,24.1,11.9,7.2,7.4,1.4,3.0,4.9,2.8,1.7,0.1,64.5
Claude 3.5 Sonnet,Diff + ErrLog + Expl + RAG,4,24.6,12.5,15.8,7.1,4.4,4.2,4.3,3.3,1.9,0.1,78.2
Claude 3.5 Sonnet,Diff + ErrLog + Expl + RAG,5,22.2,13.5,6.7,0.0,9.0,3.9,3.4,2.0,0.0,0.3,61.0
Claude 3.5 Sonnet,Diff + ErrLog + Expl + RAG,6,26.9,19.3,9.2,7.5,5.4,5.6,0.8,0.1,1.8,0.0,76.6
Claude 3.5 Sonnet,Diff + ErrLog + Expl + RAG,7,34.9,12.0,0.0,5.2,7.9,5.1,0.0,1.7,2.3,0.3,69.4
